ID,W8,starttime,endtime,pi1grid21,pi1a21,pi1b21,pi1c21,likelihood,senvote,senvote_other,plaidMotivation,reformMotivation,E_grid,E_grid_1,E_grid_2,E_grid_3,age,profile_gender,profile_socialgrade_cie,profile_education_level,media_source_main,ethnicity_new,profile_religion,profile_work_stat,NSsec_census_15categories,NSsec_census_9categories,profile_gross_household,profile_gross_personal,senedd_vote_2021,pcon_may24,profile_oslaua
1,.521270176,3-Dec-2025 07:13:35.44,3-Dec-2025 07:23:24.57,1,Not very interested,Not very interested,Not very interested,Don’t know,Reform UK,,,Nigel Farage is the only leader who understands ordinary people’s problems,1,10 – Very strongly,0 – Not at all,10 – Very strongly,59,Female,E,"Other technical, professional or higher qualification",Social network websites,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L4: Lower professional and higher technical occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£5,000 to £9,999 per year","under £5,000 per year","No, I did not",Caerfyrddin,Carmarthenshire
2,.333708245,29-Nov-2025 07:54:29.90,29-Nov-2025 08:09:24.25,1,Fairly interested,Fairly interested,Not very interested,10 – Absolutely certain to vote,Reform UK,,,They’re the only party serious about tackling immigration,1,10 – Very strongly,4,7,78,Male,A,"Other technical, professional or higher qualification",Television,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Retired,L6: Higher supervisory occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£35,000 to £39,999 per year","£35,000 to £39,999 per year","Yes, I did",Clwyd North,Denbighshire
3,2.434961762,6-Dec-2025 17:23:53.37,6-Dec-2025 17:33:33.50,1,Very interested,Very interested,Fairly interested,10 – Absolutely certain to vote,Welsh Conservative,,,,1,8,9,0 – Not at all,39,Male,E,CSE grades 2-5,A news app on a mobile or tablet device,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Not working,L14: Never worked and long-term unemployed,L14.1 and L14.2 Never worked and long-term unemployed,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","Yes, I did",Monmouthshire,Monmouthshire
4,.67284038,26-Nov-2025 10:05:27.35,26-Nov-2025 10:15:13.75,1,Fairly interested,Very interested,Not very interested,10 – Absolutely certain to vote,Don't know,,,,1,8,10 – Very strongly,0 – Not at all,55,Female,A,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",A news website not associated with a newspaper,English / Welsh / Scottish / Northern Irish / British,Yes - Presbyterian/Church of Scotland,Working full time (30 or more hours per week),L4: Lower professional and higher technical occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£70,000 to £99,999 per year","£70,000 to £99,999 per year","Yes, I did",Cardiff North,Cardiff
5,.686166933,26-Nov-2025 10:48:53.80,26-Nov-2025 10:59:28.33,1,Fairly interested,Not very interested,Fairly interested,10 – Absolutely certain to vote,Reform UK,,,At least it’s something new and they can’t make a worse mess than anyone else,1,10 – Very strongly,9,0 – Not at all,70,Male,C1,"CSE grade 1, GCE O level, GCSE, School Certificate",A news app on a mobile or tablet device,English / Welsh / Scottish / Northern Irish / British,Yes - Roman Catholic,Retired,L3: Higher professional occupations,"L1, L2 and L3 Higher managerial, administrative and professional occupations","£60,000 to £69,999 per year","£45,000 to £49,999 per year","Yes, I did",Cardiff East,Cardiff
6,.534728032,25-Nov-2025 15:43:16.56,25-Nov-2025 16:03:34.13,1,Fairly interested,Fairly interested,Fairly interested,9,Reform UK,,,Nigel Farage is the only leader who understands ordinary people’s problems,1,10 – Very strongly,7,3,74,Male,C1,GCE A level or Higher Certificate,A news app on a mobile or tablet device,English / Welsh / Scottish / Northern Irish / British,Yes - Roman Catholic,Retired,L4: Lower professional and higher technical occupations,"L4, L5 and L6 Lower managerial, administrative and professional occupations","£25,000 to £29,999 per year","£20,000 to £24,999 per year","Yes, I did",Aberafan Maesteg,Bridgend
7,.650687408,27-Nov-2025 21:01:47.38,27-Nov-2025 21:14:28.50,1,Fairly interested,Fairly interested,Fairly interested,10 – Absolutely certain to vote,Plaid Cymru,,They’re the only party serious about standing up for Wales,,1,3,10 – Very strongly,0 – Not at all,58,Female,B,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Radio,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Retired,L9: Own account workers,L8 and L9 Small employers and own account workers,Prefer not to answer,Prefer not to answer,"Yes, I did",Caerphilly,Caerphilly
8,.549127972,28-Nov-2025 09:19:02.84,28-Nov-2025 09:29:46.98,1,Not very interested,Not at all interested,Fairly interested,8,Plaid Cymru,,There's no real difference between the other parties,,1,10 – Very strongly,0 – Not at all,7,57,Male,A,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Radio,English / Welsh / Scottish / Northern Irish / British,Yes - Methodist,Working full time (30 or more hours per week),L3: Higher professional occupations,"L1, L2 and L3 Higher managerial, administrative and professional occupations","£100,000 to £149,999 per year","£100,000 and over","Yes, I did",Clwyd North,Conwy
9,.319694883,25-Nov-2025 17:05:32.62,25-Nov-2025 17:24:20.42,1,Very interested,Very interested,Fairly interested,10 – Absolutely certain to vote,Reform UK,,,They’re the only party serious about tackling immigration,1,8,10 – Very strongly,2,78,Male,B,"Other technical, professional or higher qualification",A newspaper's website,English / Welsh / Scottish / Northern Irish / British,Yes - Church of England/Anglican/Episcopal,Retired,L3: Higher professional occupations,"L1, L2 and L3 Higher managerial, administrative and professional occupations","£45,000 to £49,999 per year","£30,000 to £34,999 per year","Yes, I did",Alyn and Deeside,Flintshire
10,.948087,2-Dec-2025 15:24:08.18,2-Dec-2025 15:49:28.81,1,Fairly interested,Fairly interested,Fairly interested,9,Plaid Cymru,,They’re the only party serious about standing up for Wales,,1,7,10 – Very strongly,0 – Not at all,69,Male,C2,No formal qualifications,A news app on a mobile or tablet device,English / Welsh / Scottish / Northern Irish / British,"No, I do not regard myself as belonging to any particular religion.",Retired,L13: Routine occupations,L13 Routine occupations,"£20,000 to £24,999 per year","£10,000 to £14,999 per year","Yes, I did",Swansea West,Swansea
